offender_id,user_id,date_of_birth,gender,nationality,county,risk_level,criminal_history,substance_abuse,mental_health_issues,anger_issues,family_support,peer_support,community_ties,employment_status,employment_duration,education_level,financial_stability,housing_stability,probation_start_date,probation_duration_months,probation_officer,program_participation,program_types,compliance_rate,violation_count,curfew_breaks,positive_behavior_points,last_violation_date,probation_end_date,probation_completed,recidivism_risk
OFF_000000,0,2008-03-23 10:53:54.960352,male,Kenyan,Thika,medium,4,0,1,0,1,2,4,student,129,primary,4,1,2022-11-11 11:41:57.962187,60,Officer_15,3,['Community Service'],0.8398640811002164,0,0,6,,2027-11-11 21:17:57.962187008,1,0
OFF_000001,1,1983-10-29 14:28:17.958794,female,Kenyan,Nairobi,low,4,0,1,0,5,3,2,self_employed,208,tertiary,3,5,2024-08-10 10:40:31.962187,60,Officer_16,1,"['Vocational Training', 'Job Training', 'Family Counseling']",0.9272462176270272,0,0,8,2025-12-16 10:53:54.975539,2029-08-10 20:16:31.962187008,1,0
OFF_000002,2,1977-12-14 02:23:38.958794,male,Kenyan,Meru,medium,0,0,0,1,5,5,2,employed,100,secondary,1,2,2024-01-05 07:53:00.962187,60,Officer_4,1,['Substance Abuse Treatment'],0.7058080731103591,2,0,3,2024-11-02 10:53:54.975614,2029-01-04 17:29:00.962187008,1,0
OFF_000003,3,1994-12-19 08:16:45.958794,male,Kenyan,Nairobi,low,3,0,1,0,5,5,4,self_employed,205,secondary,5,4,2023-08-04 01:02:52.962187,24,Officer_1,3,['Community Service'],0.9702586588954003,0,0,2,,2025-08-03 14:29:16.962187008,1,0
OFF_000004,4,1992-11-30 06:34:50.958794,male,Kenyan,Eldoret,low,3,0,1,0,4,1,1,student,88,primary,2,3,2021-10-23 03:17:05.962187,36,Officer_20,4,"['Education Advancement', 'Community Service']",0.7208461772470559,1,0,3,,2024-10-22 23:26:41.962187008,1,0
OFF_000005,5,1991-06-10 09:17:37.958794,male,Kenyan,Nakuru,low,4,0,0,0,5,4,1,self_employed,55,secondary,5,1,2023-08-05 15:57:59.962187,24,Officer_8,1,"['Counseling', 'Community Service']",0.6730698206084268,0,2,9,2025-05-03 10:53:54.975648,2025-08-05 05:24:23.962187008,1,1
OFF_000006,6,1985-09-29 16:30:46.958794,male,Kenyan,Kisumu,medium,2,0,0,0,1,1,3,student,93,primary,3,3,2024-03-16 10:15:05.962187,48,Officer_6,4,['Substance Abuse Treatment'],0.5441995108158963,3,1,4,,2028-03-16 13:07:53.962187008,1,0
OFF_000007,7,1983-03-23 23:39:01.958794,female,Kenyan,Thika,high,1,1,0,0,5,5,4,employed,92,degree,1,2,2025-07-21 02:56:18.962187,24,Officer_10,4,['Substance Abuse Treatment'],0.7644829343400219,1,0,7,2025-12-14 10:53:54.975674,2027-07-21 16:22:42.962187008,1,0
OFF_000008,8,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,high,2,0,0,0,2,2,1,unemployed,83,diploma,4,2,2024-08-14 05:04:43.962187,48,Officer_18,2,[],0.8712204583324952,1,0,6,,2028-08-14 07:57:31.962187008,0,0
OFF_000009,9,2008-03-23 10:53:54.960352,male,Kenyan,Kisumu,medium,5,0,0,1,5,2,4,employed,84,tertiary,5,3,2025-10-12 10:02:28.962187,48,Officer_1,0,['Community Service'],0.545381655825552,4,1,9,,2029-10-12 12:55:16.962187008,0,0
OFF_000010,10,1982-03-02 07:55:47.958794,male,Kenyan,Eldoret,medium,5,0,0,0,4,1,5,employed,188,diploma,4,4,2024-01-14 07:13:19.962187,48,Officer_18,3,['Mental Health Support'],0.8676678912027851,0,1,4,,2028-01-14 10:06:07.962187008,1,0
OFF_000011,11,2008-03-23 10:53:54.960352,female,Kenyan,Meru,low,1,0,0,0,2,5,2,unemployed,21,diploma,1,2,2021-06-15 04:56:37.962187,24,Officer_14,0,[],0.6986658055422253,1,0,7,2025-07-11 10:53:54.975697,2023-06-15 18:23:01.962187008,1,0
OFF_000012,12,2004-12-17 09:04:14.958794,male,Kenyan,Mombasa,low,4,0,0,1,1,2,2,self_employed,34,degree,5,3,2022-03-14 19:24:08.962187,36,Officer_3,3,[],0.814634373788877,2,0,3,,2025-03-14 15:33:44.962187008,1,0
OFF_000013,13,1978-05-31 10:00:27.958794,male,Kenyan,Machakos,high,1,1,0,0,1,5,2,unemployed,228,secondary,4,1,2023-06-11 00:30:54.962187,24,Officer_8,0,[],0.29419382178645453,0,0,5,2025-08-19 10:53:54.975716,2025-06-10 13:57:18.962187008,1,0
OFF_000014,14,1978-04-12 01:38:01.958794,male,Kenyan,Kisii,low,3,0,0,0,3,2,4,self_employed,15,tertiary,4,3,2022-09-27 05:52:47.962187,36,Officer_4,3,[],0.8029258664062697,2,0,4,,2025-09-27 02:02:23.962187008,1,0
OFF_000015,15,1982-08-17 06:17:19.958794,male,Kenyan,Mombasa,low,5,0,0,0,2,5,4,self_employed,49,secondary,5,3,2026-02-27 06:48:23.962187,36,Officer_15,0,"['Education Advancement', 'Job Training']",0.7676379699815268,2,1,2,2025-12-02 10:53:54.975737,2029-02-27 02:57:59.962187008,1,0
OFF_000016,16,1991-02-16 17:31:51.958794,male,Kenyan,Eldoret,low,0,1,0,0,3,3,3,student,121,diploma,1,5,2023-06-24 05:30:18.962187,48,Officer_4,2,"['Vocational Training', 'Education Advancement', 'Mental Health Support']",0.6775337671632117,4,0,1,2026-01-09 10:53:54.975756,2027-06-24 08:23:06.962187008,1,0
OFF_000017,17,1992-01-31 06:31:42.958794,male,Kenyan,Kericho,low,0,0,0,1,2,5,2,student,127,primary,4,2,2021-07-18 07:33:42.962187,24,Officer_5,4,"['Substance Abuse Treatment', 'Education Advancement']",0.9751076284327901,0,1,2,,2023-07-18 21:00:06.962187008,0,0
OFF_000018,18,2008-03-23 10:53:54.960352,male,Kenyan,Kisii,low,4,0,1,1,2,5,3,unemployed,112,diploma,3,4,2022-02-21 05:58:41.962187,36,Officer_16,3,['Job Training'],0.8228701975815669,0,1,5,,2025-02-21 02:08:17.962187008,1,0
OFF_000019,19,2008-03-23 10:53:54.960352,male,Kenyan,Nairobi,medium,3,0,0,1,4,1,2,employed,170,secondary,5,4,2024-11-30 14:19:14.962187,60,Officer_10,4,"['Family Counseling', 'Vocational Training']",0.8968134367281658,0,1,5,,2029-11-30 23:55:14.962187008,1,0
OFF_000020,20,1978-01-21 00:13:15.958794,male,Kenyan,Thika,medium,2,0,0,0,3,3,3,unemployed,16,diploma,2,5,2024-02-28 11:11:50.962187,36,Officer_17,3,[],0.9535165073442236,1,0,5,2025-12-30 10:53:54.975779,2027-02-28 07:21:26.962187008,1,0
OFF_000021,21,2008-03-23 10:53:54.960352,male,Kenyan,Nairobi,high,3,0,0,0,4,4,3,self_employed,79,primary,2,4,2023-11-21 00:22:27.962187,60,Officer_9,3,['Family Counseling'],0.6443341459013917,0,0,8,,2028-11-20 09:58:27.962187008,1,0
OFF_000022,22,1989-10-12 14:10:30.958794,male,Kenyan,Mombasa,high,0,0,0,0,2,1,5,student,185,degree,1,3,2024-12-06 06:47:05.962187,24,Officer_14,2,"['Family Counseling', 'Education Advancement', 'Counseling']",0.9097880163972446,1,0,6,2025-04-14 10:53:54.975837,2026-12-06 20:13:29.962187008,1,0
OFF_000023,23,2008-03-23 10:53:54.960352,male,Kenyan,Nairobi,medium,0,1,0,0,1,4,3,unemployed,129,secondary,3,5,2025-07-27 09:21:56.962187,24,Officer_16,0,"['Community Service', 'Family Counseling']",0.7761593690842306,1,0,3,,2027-07-27 22:48:20.962187008,1,0
OFF_000024,24,2008-03-23 10:53:54.960352,male,Kenyan,Eldoret,low,5,1,1,0,2,2,4,unemployed,131,diploma,4,1,2022-03-15 18:04:23.962187,24,Officer_16,3,"['Mental Health Support', 'Education Advancement']",0.9757594941262322,1,0,3,,2024-03-15 07:30:47.962187008,1,0
OFF_000025,25,2008-03-23 10:53:54.960352,male,Kenyan,Machakos,medium,3,1,1,1,4,4,3,student,84,secondary,2,2,2024-06-30 05:09:04.962187,36,Officer_8,0,['Mental Health Support'],0.8529529343794986,0,2,5,,2027-07-01 01:18:40.962187008,1,1
OFF_000026,26,2008-03-23 10:53:54.960352,male,Kenyan,Meru,medium,3,1,0,0,3,5,2,student,166,degree,1,2,2026-02-14 20:25:08.962187,12,Officer_15,2,[],0.6317747360321069,2,2,3,,2027-02-15 03:08:20.962187000,1,1
OFF_000027,27,2004-10-18 16:13:08.958794,male,Kenyan,Thika,low,0,0,0,0,3,4,3,student,225,diploma,3,2,2022-11-02 00:11:56.962187,36,Officer_18,1,"['Education Advancement', 'Family Counseling']",0.9126520503098823,0,0,2,,2025-11-01 20:21:32.962187008,1,0
OFF_000028,28,1991-04-02 12:50:58.958794,male,Kenyan,Nairobi,medium,2,1,1,0,4,1,1,self_employed,93,diploma,3,3,2023-05-21 20:23:06.962187,36,Officer_5,4,[],0.6893284174074222,0,2,6,,2026-05-21 16:32:42.962187008,1,0
OFF_000029,29,2006-10-26 14:31:51.958794,male,Kenyan,Nairobi,medium,4,0,0,0,3,1,2,student,133,secondary,1,1,2021-08-06 08:35:52.962187,48,Officer_13,3,"['Family Counseling', 'Counseling']",0.8832750371102625,0,0,6,,2025-08-06 11:28:40.962187008,0,0
OFF_000030,30,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,medium,4,0,0,0,5,4,1,employed,80,secondary,1,5,2024-12-05 05:42:13.962187,48,Officer_7,2,['Counseling'],0.7945759670691523,0,0,6,,2028-12-05 08:35:01.962187008,1,0
OFF_000031,31,1995-03-07 22:07:06.958794,male,Kenyan,Meru,medium,3,0,1,1,1,1,2,unemployed,230,primary,4,5,2021-03-26 17:00:32.962187,36,Officer_20,0,[],0.659932248847851,2,1,6,2026-01-16 10:53:54.975892,2024-03-26 13:10:08.962187008,1,0
OFF_000032,32,1976-09-09 23:33:37.958794,male,Kenyan,Kisumu,low,4,0,0,0,1,1,4,student,216,degree,1,2,2025-08-22 18:58:09.962187,60,Officer_17,3,"['Job Training', 'Family Counseling']",0.8039020948790396,0,2,7,2026-03-19 10:53:54.975933,2030-08-23 04:34:09.962187008,1,1
OFF_000033,33,1987-02-11 19:23:16.958794,female,Kenyan,Nairobi,high,0,0,0,1,1,4,4,student,68,primary,4,1,2025-10-19 08:47:20.962187,48,Officer_5,0,"['Education Advancement', 'Job Training', 'Counseling']",0.5726290812858938,0,0,2,2025-12-02 10:53:54.975980,2029-10-19 11:40:08.962187008,1,0
